trigram,count
jadi orang peama,1933
aman kebal kovid,1924
lancar nkri pulih,1910
terima kasih atas,1908
update covid 19,1892
kamtibmas kapolri panglima,1880
covid 19 kabupaten,1864
covid 19 tahap,1851
karna pandemi jadi,1840
cegah penyebaran virus,1829
melaksanakan operasi yustisi,1828
pemberlakuan pembatasan kegiatan,1827
menjadi orang peama,1822
vaksin mantap imun,1821
tangkal hoax vaksin,1811
aku nitip jualan,1806
mencegah penyebaran virus,1804
pandemi jadi susah,1792
susah banget cari,1788
mantap imun kuat,1786
jadi susah banget,1776
nitip jualan karna,1775
jualan karna pandemi,1774
hiii aku nitip,1766
banget cari pendapatan,1755
protokol kesehatan covid,1753
jual masker wajah,1744
hoax vaksin kovid,1741
cari pendapatan apps,1738
masa pandemi covid,1717
covid 19 selalu,1700
gak pake masker,1699
masker jaga jarak,1669
juta dosis vaksin,1666
covid 19 kota,1664
vaksin ciptakan imunitas,1662
bersama cegah penyebaran,1660
pendapatan apps cek,1649
pendisiplinan protokol kesehatan,1642
tni polri selalu,1623
panglima tni kapolri,1617
sukseskan vaksin patuh,1614
ciptakan imunitas kovid,1603
polri selalu bersinergi,1583
vaksin patuh prokes,1564
selalu bersinergi negeri,1562
bersinergi negeri terciptanya,1558
akibat covid 19,1544
masker mencuci tangan,1542
kasus positif covid,1537
penegakan disiplin protokol,1527
protokol kesehatan memutus,1522
apps cek pinned,1503
memutus penyebaran covid,1493
jangan lupa pake,1477
adaptasi kebiasaan baru,1476
tetap mematuhi protokol,1466
vaksin aman halal,1461
rantai penyebaran covid,1452
memakai masker mencuci,1449
baru covid 19,1448
sat lantas polres,1448
tengah pandemi covid,1446
sinergitas tni polri,1443
covid 19 wilayah,1439
yg kena covid,1433
kapolri panglima lakukan,1411
selalu memakai masker,1406
sembuh covid 19,1397
masker menjaga jarak,1386
negeri terciptanya masyarakat,1380
vaksinasi melawan pandemi,1370
rantai covid 19,1370
kalo pake masker,1357
corona covid 19,1356
covid 19 polsek,1354
terciptanya masyarakat aman,1351
covid 19 buat,1351
masyarakat aman damai,1342
tingkatkan sinergitas jaga,1339
aku jual masker,1333
aman damai melalui,1332
panglima lakukan pengecekan,1325
arus lalu lintas,1323
pandemi segera berakhir,1319
rakyat dukung vaksin,1318
polsek kakas cegah,1303
kakas cegah covid,1303
kasih atas pasisipasinya,1301
atas pasisipasinya semoga,1301
pasisipasinya semoga beruntung,1301
vaksin solusi atasi,1300
memakai masker menjaga,1298
dosis vaksin covid,1295
gubernur jawa timur,1290
kadrun framing hoax,1284
bahan baku vaksin,1282
pencegahan penyebaran covid,1282
kesehatan memutus penyebaran,1278
ri jadi orang,1267
solusi atasi pandemi,1254
mengedepankan pencegahan permasalahan,1246
kawan jm beraktivitas,1246
19 buat kawan,1246
kes covid 19,1245
buat kawan jm,1245
selalu patuhi protokol,1245
presiden ri jadi,1243
hallo kawan jm,1243
kawan jm patuhi,1243
jm patuhi protokol,1243
7 februari 2021,1242
pencegahan permasalahan pelaksanaan,1241
kamtibmas kapolri perkuat,1239
kapolri perkuat soliditas,1239
wa 0877 7000,1239
0877 7000 7581,1239
protokol kesehatan cegah,1234
perkuat soliditas melalui,1232
yg pake masker,1231
soliditas melalui silaturahmi,1228
semoga pandemi segera,1224
permasalahan pelaksanaan keadilan,1223
framing hoax vaksin,1222
covid 19 wajib,1216
tni kapolri bagikan,1214
ayo patuhi protokol,1212
masa pandemi gini,1209
vaksin boosting herd,1206
penyintas covid 19,1204
mata rantai penyebaran,1201
virus corona covid,1200
bebas covid 19,1199
kehidupan sehari hari,1194
vaksin lancar rakyat,1192
orang peama disuntuk,1188
peama disuntuk vaksin,1188
10 ribu masker,1184
januari 2021 pukul,1182
semangat tetap jaga,1176
mata rantai covid,1174
menerima vaksin covid,1174
vaksin merah putih,1171
kak semangat tetap,1161
lancar rakyat kuat,1160
beruntung kak semangat,1159
himbauan penerapan protokol,1155
prokes covid 19,1155
disuntuk vaksin covid,1151
protokol kesehatan kehidupan,1151
jaga jarak aman,1148
operasi yustisi penegakan,1143
kesehatan kehidupan sehari,1143
1trenggalek indonesia wajib,1139
bagikan 10 ribu,1133
covid 19 dimulai,1133
kena covid 19,1132
s i k,1129
mencuci tangan menjaga,1128
masker terapkan protokol,1123
selalu mematuhi protokol,1121
boosting herd immunity,1120
yustisi protokol kesehatan,1120
dapatkan shopee sekarang,1118
jenderal polisi drs,1116
pakai masker terapkan,1114
kapolri bagikan 10,1113
ribu masker pasar,1112
masker pasar bali,1110
jaga diri jaga,1109
bebas covid vaksin,1108
6 7 februari,1107
covid 19 hingga,1107
pasar bali mester,1098
bali mester jatinegara,1089
protokol kesehatan 3m,1085
angka penyebaran covid,1075
melawan covid 19,1074
covid 19 tetap,1071
salah satu cara,1070
kegiatan masyarakat ppkm,1069
3m memakai masker,1058
divaksinasi covid 19,1054
disuntik vaksin sinovac,1042
koramil 16 colomadu,1040
donor plasma konvalesen,1040
merupakan salah satu,1038
pasar tanah abang,1033
fix vaksin tak,1019
aku pake masker,1013
tni polri sinergi,1011
menekan angka penyebaran,1009
tangan menjaga jarak,998
polisi drs idham,992
satgas penanganan covid,992
covid 19 ni,991
silaturahmi panglima tni,989
pakai masker jaga,987
vaksin mantul terbukti,985
melalui silaturahmi panglima,984
giat himbauan penerapan,983
cegah penularan covid,982
vaksin tak berbahaya,981
tanggal 6 7,974
selalu gunakan masker,974
drs idham azis,971
mantul terbukti aman,965
covid 19 hari,965
izin penggunaan darurat,964
dukung program vaksinasi,963
pandemi tni polri,957
melawan pandemi tni,956
kak terima kas,956
polri sinergi negeri,955
yustisi penegakan disiplin,951
covid 19 dosis,943
tembus 1 juta,940
pelaksanaan program vaksinasi,934
19 wajib bebas,925
covid 19 yg,922
covid 19 yuk,918
perdana pelaksanaan vaksinasi,911
covid 19 tni,907
upaya memutus mata,906
bebas covid ayo,904
pangdam v brawijaya,897
vaksin sinovac aman,894
bersama lawan covid,894
lakukan pengecekan kedisiplinan,885
19 tni polri,882
aku jualan masker,881
covid 19 perdana,880
covid 19 melalui,879
selalu pakai masker,867
terhindar covid 19,853
uu cipta kerja,852
yg positif covid,848
hai aku jual,847
patuh protokol kesehatan,845
protokol kesehatan jaga,838
25 januari 2021,836
peama disuntik vaksin,836
jangan lupa selalu,831
suntik vaksin covid,829
pandemik covid 19,828
efek samping vaksin,826
penularan virus covid,824
aman halal indonesia,823
suntikan vaksin covid,823
ddongpao semoga beruntung,820
gugus tugas covid,820
tni polri berkomitmen,819
tetap pakai masker,815
jokowi disuntik vaksin,813
halal indonesia wajib,812
sukseskan vaksinasi covid,812
operasi yustisi protokol,809
covid 19 polres,806
covid 19 dukung,806
psbb jawa bali,805
giat ops yustisi,803
jaga keluarga jaga,802
diri jaga keluarga,802
polri berkomitmen memberikan,801
protokol kesehatan mencegah,799
covid 19 muba,798
pas pandemi gini,797
gak mau vaksin,793
syekh ali jaber,791
6 tahun 2020,790
covid 19 segera,785
protokol kesehatan pencegahan,785
terinfeksi covid 19,785
jaga kamtibmas sea,783
tugas covid 19,782
menjaga jarak mencuci,779
covid 19 aman,779
pin 56e24062 sms,778
56e24062 sms wa,778
vaksin putus rantai,775
aku jual hoodie,774
jual hoodie polos,774
hoodie polos hoodie,774
polos hoodie h,774
hoodie h amp,774
h amp ori,774
amp ori crewneck,774
ori crewneck 50k,774
crewneck 50k 150k,774
maaf ka izin,774
ka izin lapak,772
izin lapak hai,771
lapak hai aku,771
covid 19 bagian,771
tni polri modal,770
polri modal dasar,770
modal dasar jaya,770
dasar jaya nkri,770
jaya nkri sinergitas,769
nkri sinergitas jaga,769
50k 150k ajaa,768
terkonfirmasi positif covid,765
covid 19 terus,765
aman nusa ii,763
penerima vaksin covid,762
penegakan protokol kesehatan,760
wabah covid 19,760
budi gunadi sadikin,758
menuju polri presisi,757
bagikan masker gratis,757
tetap jaga jarak,756
alvinxxs semangat kak,755
jenazah covid 19,753
putus rantai kovid,746
dukung vaksinasi covid,745
covid 19 perlu,740
sms wa 089618199536,735
khofifah indar parawansa,732
hari perdana pelaksanaan,731
tes covid 19,731
kasus baru covid,725
jangan takut vaksin,724
covid 19 tiba,720
tol ir wiyoto,720
program vaksinasi nasional,719
semoga pandemi cepat,719
covid 19 tak,718
covid 19 produksi,717
kes positif covid,716
musim covid ni,715
info lalu lintas,712
ga mau vaksin,712
19 dosis kedua,711
jarak mencuci tangan,709
ir wiyoto wiyono,708
covid 19 vaksin,707
covid 19 ayo,701
bansos covid 19,700
berbagi masa pandemi,696
hari pelaksanaan vaksinasi,695
wiyoto wiyono msc,695
putus mata rantai,695
terima kasih berbagi,694
januari 2021 hari,692
satu cara keluar,691
jangan lupa tetap,691
masker cuci tangan,689
masa pandemi pastinya,687
orang peama disuntik,685
vaksin sangat penting,685
dukung pelaksanaan vaksinasi,685
pesakit covid 19,684
tugas penanganan covid,684
kasih berbagi masa,684
wa 089672741910 line,683
polsek satpol pp,681
pandemi pastinya hadiahnya,680
stiker ayo pakai,678
masyarakat mematuhi protokol,678
dukung vaksin save,676
kamtibmas sea soliditas,676
pastinya hadiahnya sangat,675
27 januari 2021,674
stop framing hoaks,672
memutus rantai penyebaran,672
terima vaksin taati,671
cara keluar masa,668
membagikan masker masyarakat,668
menerima suntikan vaksin,667
wabak covid 19,667
negatif covid 19,667
kurangi mobilitas bersama,665
protokol kesehatan tetap,665
keluarga jaga negara,660
hadiahnya sangat bermanfaat,659
mobilitas bersama cegah,654
vaksin save nkri,653
kodim 0727 karanganyar,652
2021 hari ditunggu,649
hari ditunggu hari,648
virus corona menerapkan,648
kondisi inti kota,647
inti kota medan,647
ditunggu hari perdana,646
polsek jajaran polres,646
hari 13 januari,645
waspada hoaks vaksin,643
framing hoaks vaksin,642
sukseskan program vaksinasi,641
selama pandemi covid,639
089672741910 line blz0121v,639
line blz0121v berna,639
kodim 0727 kra,637
covid 19 masyarakat,636
indonesia bebas covid,636
wulannieztt semangat kak,635
polres karimun melaksanakan,635
xseoyi terima kasih,635
19 produksi sinovac,630
pemulihan ekonomi nasional,626
sesuai protokol kesehatan,625
joko widodo menjadi,624
pasien positif covid,624
covid 19 buatan,623
vaksin taati prokes,621
panglima tni marsekal,621
santos jaya abadi,621
sangat bermanfaat sekali,621
rakyat indonesia vaksin,619
menjadi salah satu,619
sangat penting rakyat,615
mencegah penularan covid,614
berkomitmen memberikan edukasi,613
selalu menggunakan masker,611
time covid ni,610
covid 19 pak,609
melaksanakan giat sambang,607
perkembangan covid 19,607
hallo guys yuk,607
guys yuk bergabung,607
permainan judi online,607
judi online sangat,607
online sangat seru,607
satuan tugas penanganan,607
penting rakyat indonesia,606
covid 19 jakaa,606
order pin 56e24062,605
sangat seru searching,602
jangan lupa sarapan,599
corona menerapkan disiplin,599
menerapkan disiplin 3m,599
bagikan seribu masker,596
terkait covid 19,596
hoaks vaksin kovid19,595
protokol kesehatan selalu,595
pt santos jaya,592
pake masker kalo,592
covid 19 provinsi,592
covid 19 kec,591
seribu masker polres,589
berkomitmen menekan angka,589
1 juta kasus,589
covid 19 jawa,589
000 dapatkan shopee,588
jaga protokol kesehatan,587
dukung pemerintah sukseskan,585
rantai penyebaran virus,585
melaksanakan ops yustisi,585
covid 19 kecamatan,585
kegiatan operasi yustisi,583
selama masa pandemi,581
pelanggar protokol kesehatan,580
jarak cuci tangan,580
sea soliditas tni,578
juta bahan baku,577
19 tahap peama,576
terdampak covid 19,575
yg nyari masker,572
indonesia vaksin tak,570
bersama pangdam v,569
19 muba beambah,569
anggota koramil 02,568
wulannieztt semoga beruntung,568
menkes budi gunadi,568
melanggar protokol kesehatan,567
penanggulangan covid 19,567
nitip jualan kak,566
bersama anggota polsek,565
masker polres polsek,564
polres polsek jajaran,564
jajaran polres cilacap,564
polres cilacap berkomitmen,564
cilacap berkomitmen menekan,564
taati protokol kesehatan,562
pengecekan kedisiplinan protokol,560
16 colomadu bersama,559
jaga jarak cuci,559
penggunaan darurat vaksin,559
disiplin 3m dukung,559
januari 2021 pelaksanaan,558
usai disuntik vaksin,557
ga percaya covid,557
pake masker terus,557
masker aja ganteng,557
3m dukung pelaksanaan,557
protokol kesehatan masyarakat,557
14 januari 2021,556
melalui program vaksinasi,556
covid 19 peama,556
rajin cuci tangan,554
pandemi cepat berlalu,552
kematian akibat covid,552
19 indonesia wajib,550
pantauan arus lalu,550
2021 pelaksanaan program,549
widodo menjadi orang,549
ajak masyarakat vaksinasi,548
polri ajak masyarakat,546
11 januari 2021,546
pake masker organik,546
pernah kena covid,546
19 selalu memakai,543
mencegah covid 19,543
melaksanakan giat patroli,542
giat pembagian masker,542
giat operasi yustisi,541
selalu pake masker,540
pake masker ga,539
19 dimulai presiden,537
kegiatan ops yustisi,537
19 pak jokowi,536
dinyatakan positif covid,536
kesehatan jaga jarak,536
pembagian masker gratis,536
covid 19 presiden,535
rabu 13 1,534
jual masker spirulina,532
penyuntikan vaksin covid,530
karimun bermasker polsek,529
damai melalui program,527
melaksanakan vaksinasi covid,527
sukseskan pelaksanaan vaksinasi,526
lg pandemi gini,525
kegiatan pembagian masker,525
jangkitan covid 19,524
taat protokol kesehatan,523
gejala covid 19,521
kesehatan cegah covid,521
pembagian masker masyarakat,521
tutup jam 7,520
pendistribusian vaksin covid,517
26 januari 2021,516
keluar masa pandemi,516
gara gara pandemi,516
seru searching google,516
situasi arus lalu,516
februari 2021 bersama,515
tangani covid 19,514
penegakan hukum protokol,514
lindungi diri keluarga,512
bersama sama kurangi,509
yuk dukung pemerintah,508
sama kurangi mobilitas,505
kedisiplinan protokol kesehatan,505
jaga jarak pakai,505
salah satu upaya,505
jual masker organik,505
covid 19 tenaga,505
personil polsek rengasdengklok,504
distribusi vaksin covid,503
masker wajah alami,503
kak aku jual,503
covid 19 bersama,503
yah kak tetap,502
vaksin sinovac tiba,502
baku vaksin covid,501
pake masker yg,499
terus yah kak,498
alvinxxs semoga beruntung,498
positive covid 19,498
semoga beruntung semangat,497
beruntung semangat terus,497
semangat terus yah,497
covid 19 patuhi,497
dicari reseller masker,497
protokol kesehatan bersama,495
covid 19 semoga,494
vaksin corona sinovac,494
melaksanakan pembagian masker,494
covid 19 beambah,493
bahas pencegahan covid,492
hukum protokol kesehatan,492
19 hingga sinergitas,491
hingga sinergitas jaga,491
sosialisasi protokol kesehatan,491
15 juta bahan,489
rujukan covid 19,489
vaksin salah satu,488
rs rujukan covid,488
ayo gunakan masker,488
protokol kesehatan jangan,487
penularan virus corona,487
tanah abang kapolri,486
abang kapolri panglima,486
vaksin merupakan salah,486
ops yustisi penegakan,485
kapolri jenderal polisi,484
covid 19 dilakukan,484
vaksin tak berguna,483
kapolri panglima pantau,483
sidak pasar tanah,482
terima vaksin covid,482
untung pake masker,482
satpol pp melaksanakan,482
pantauan arus lalin,482
arus lalin terkini,482
lalin terkini ruas,482
terkini ruas jalan,482
selalu menerapkan protokol,482
koramil 02 tasikmadu,481
memutus rantai penularan,480
bersama forkopimcam kec,479
operasi yustisi gabungan,478
polri tanggal 6,477
covid 19 pemerintah,477
forkopimcam kec rengasdengklok,477
rabu 13 januari,475
covid 19 semakin,475
searching google cari,475
2021 bersama sama,474
jarak pakai masker,474
mitra polri tanggal,473
aktif covid 19,473
ayo dukung vaksinasi,472
pembatasan sosial berskala,472
gabungan tni polri,472
covid 19 jadi,471
bersama membangun nkri,470
15 juta dosis,470
pandemi segera berlalu,469
covid 19 bukan,468
sat polair polres,467
zona merah covid,467
panglima pantau kedisiplinan,466
teular covid 19,466
kematian covid 19,465
pantau kedisiplinan masyarakat,464
jaga jarak sama,464
covid 19 vaksinasi,462
tim gugus tugas,462
bersama kapolri jenderal,461
pemasangan stiker ayo,461
orang peama divaksin,459
kesehatan pencegahan covid,459
cod bogor wa,458
kec rengasdengklok kab,458
rengasdengklok kab karawang,458
polsek rengasdengklok bersama,458
covid 19 tembus,457
emergency use authorization,457
kasus aktif covid,457
wa 0838 1137,456
0838 1137 8499,456
covid 19 berakhir,455
provinsi jawa timur,453
ppkm jawa bali,452
covid 19 jangan,452
sosial berskala besar,452
tetap menerapkan protokol,452
12 januari 2021,450
vaksinasi memulihkan indonesia,449
protokol kesehatan dukung,449
merah covid 19,449
15 januari 2021,448
covid 19 3m,447
gubernur provinsi jatim,447
meninggal covid 19,446
covid 19 meninggal,446
protokol kesehatan ketat,446
mencapai tujuan indonesia,445
tujuan indonesia bebas,443
lalu lintas terkini,442
menjalankan protokol kesehatan,442
protokol covid 19,442
kesehatan memakai masker,441
polri satpol pp,441
65 3 persen,440
lintas terkini tol,440
covid 19 mulai,440
operasi yustisi 3,440
pak jokowi jadi,439
01 2021 pukul,439
darurat covid 19,438
anggota koramil 16,438
yustisi 3 pilar,438
tangan memakai masker,438
vaksin taknak percaya,437
terkonfirmasi covid 19,437
disuntik vaksin corona,436
jgn lupa pake,436
operasi yustisi rangka,436
mengikuti protokol kesehatan,435
covid 19 kab,435
mencuci tangan memakai,435
19 perlu 70,434
wulannieztt terima kasih,434
upaya penanganan covid19,434
badan pengawas obat,434
moderasi beragama pandemi,433
upaya pencegahan penyebaran,433
polres tni polri,432
bubur kacang ijo,432
satgas aman nusa,432
ikuti protokol kesehatan,432
peningkatan disiplin protokol,432
penanganan covid19 vaksin,431
covid19 vaksin merupakan,431
berguna diri sendiri,431
membahas moderasi beragama,431
grobogan polres tni,431
masker aja cakep,431
muhammadiyah membahas moderasi,430
terkini tol ir,430
tak berguna diri,429
19 tenaga kesehatan,429
beragama pandemi covid19,427
pake masker jaga,425
deteksi covid 19,423
rengasdengklok bersama forkopimcam,423
lintas protokol kesehatan,423
pandemi kaya gini,422
hi first people,421
19 dukung sukses,419
wajib pakai masker,419
1 memakai masker,419
pake masker jadi,414
jangan takut divaksin,413
penderita covid 19,413
yantii 06 semoga,412
06 semoga beruntung,412
gedung negara grahadi,411
polair polres jembrana,411
protokol kesehatan sesuai,411
bersama polsek satpol,411
finally hari pelaksanaan,410
covid 19 menjadi,410
memakai masker 2,410
mau keluar rumah,409
joko widodo jokowi,408
wib s d,408
bermanfaat sekali semoga,408
tetap patuhi prokes,407
tekan penyebaran covid,407
ops yustisi polsek,407
kasih atas paisipasinya,407
disuntikkan vaksin covid,406
menekan penyebaran covid,406
jangan ragu vaksin,405
akibat pandemi covid,405
perlu 70 masyarakat,404
jangan lupa pak,404
ditengah pandemi covid,404
sebaran covid 19,404
covid 19 meningkat,403
8 februari 2021,403
gelar operasi yustisi,402
masyarakat yg vaksin,401
baru virus corona,401
jokowi lawan pandemi,400
covid 19 lebih,399
masker gratis masyarakat,399
bersama cegah covid,399
atas paisipasinya semoga,399
paisipasinya semoga beruntung,399
70 masyarakat yg,398
gt gt gt,397
peama vaksin covid,395
anggota koramil 06,395
mau pake masker,395
majelis ulama indonesia,394
selalu menjaga jarak,394
18 januari 2021,393
presiden republik indonesia,393
sinovac aman halal,393
polsek meral polres,393
meral polres karimun,393
vaksin tahap peama,392
operasi yustisi polsek,392
24 januari 2021,391
dosis vaksin sinovac,391
yustisi pembagian masker,391
februari 2021 pukul,391
anggota koramil 17,390
presiden jokowi disuntik,389
2021 pukul 09,389
bagikan masker masyarakat,389
presiden jokowi menyatakan,388
data covid 19,388
bagikan masker warga,388
bogor wa 0838,387
masker spirulina herbal,387
21 januari 2021,386
covid 19 gratis,386
bersama 3 pilar,386
uji klinis vaksin,385
covid 19 personil,385
mau beli masker,384
kak numpang lapak,384
22 januari 2021,383
peama disuntikkan vaksin,383
tangan pakai sabun,383
harian covid 19,383
penanganan pandemi covid,383
terkena covid 19,383
orang peama disuntikkan,381
disahkan positif covid,381
orang positif covid,381
mencegah penularan virus,381
selalu jaga kesehatan,380
covid 19 merupakan,378
pernah positif covid,378
aja pake masker,378
jangan lupa mandi,377
vaksin sinovac halal,377
percepatan penanganan covid,377
covid 19 anggota,376
pengawas obat makanan,376
tni hadi tjahjanto,375
tak percaya member,374
28 januari 2021,374
masker aja cantik,374
19 januari 2021,373
kes covid ni,373
23 januari 2021,372
vaksin virus corona,372
19 wilayah hukum,372
kesehatan mencegah penyebaran,371
covid 19 puskesmas,371
kesehatan cegah covid19,371
jokowi menyatakan menjadi,370
menyatakan menjadi orang,370
marsekal tni hadi,370
dampak covid 19,369
gt gt gubernur,369
30 januari 2021,368
tak nak percaya,368
dukung sukseskan pelaksanaan,367
31 januari 2021,367
gak pakai masker,367
tni marsekal tni,366
pandemi cepat berakhir,366
memulihkan indonesia pandemi,365
19 selalu menjaga,365
19 tetap mematuhi,365
kak terima ka,364
vaksin tak nak,364
cuci tangan jaga,364
kendaraan jaga jarak,364
hari jum at,363
i k m,363
wib kendalikan kecepatan,362
kendalikan kecepatan kendaraan,362
kecepatan kendaraan jaga,362
jarak aman antar,362
aman antar kendaraan,362
kesehatan sesuai inpres,362
varian baru virus,361
covid 19 cepat,361
masyarakat vaksinasi memulihkan,360
karimun bermasker patroli,360
dukungsehatkanbangsa polri ajak,359
dosis kedua vaksin,359
minum air putih,359
tetep pake masker,359
rantai penularan virus,359
teib berlalu lintas,359
jaga jarak dulu,359
pandemi virus corona,359
satpol pp kec,359
rasuah berleluasa pemberian,358
berleluasa pemberian kelulusan,358
pemberian kelulusan menjalankan,358
mentaati protokol kesehatan,357
dimulai presiden joko,356
kanit binmas polsek,356
29 januari 2021,355
kelulusan menjalankan latihan,355
listyo sigit prabowo,355
varian baru covid,354
tak pakai masker,354
vaksinasi keselamatan semua,353
anggota koramil 05,353
pakai face mask,353
17 januari 2021,352
pelanggaran protokol kesehatan,352
masker wajah pemutih,352
wilayah hukum polres,352
pencegahan penyebaran virus,352
polsek tanggung presiden,351
tanggung presiden ri,351
gt gt khofifah,351
covid 19 gedung,351
tenaga kesehatan nakes,351
aku open reseller,350
covid 19 melaksanakan,350
pake masker apa,350
tangan jaga jarak,350
halo kak aku,350
gara gara covid,350
covid 19 sembuh,350
melaksanakan giat ops,350
covid 19 dki,349
berskala besar psbb,349
kab karawang melaksanakan,349
covid 19 gubernur,349
khofifah gubernur jawa,348
teknisi informasi teknisi,348
h joko widodo,347
pelaksanaan vaksin covid,347
jangan kasih kendor,347
xseoyi semoga beruntung,347
korban covid 19,347
ir h joko,346
efikasi vaksin sinovac,346
soliditas tni polri,345
yantii 06 semangat,345
06 semangat kak,345
binmas noken polri,345
ppkm pemberlakuan pembatasan,345
polda metro jaya,345
jokowi menjadi orang,344
kedua vaksin covid,344
yustisi penegakan hukum,344
semoga pandemi cepet,343
republik indonesia ri,342
menekan penyebaran virus,342
nomor 6 tahun,342
ri ir h,341
pelaksanaan keadilan restorative,341
kapolri panglima imbau,341
yg ga percaya,341
saringan covid 19,341
protokol kesehatan masya,340
menjalankan latihan program,340
